ID;gender;age;Style;Category;Artist;Title;area;Year;url;Artist Info URL;;smile;smiledetailed;pitch;roll;yaw;eyes;eyesdetailed;mouth;mouthdetailed;happiness;neutral;sadness
8;Female;37;Renaissance Art;Northern Renaissance;Rogier van der Weyden;Portrait of a Young Woman in a Pinned Hat;Europe;1435;https://use2-uploads2.wikiart.org/images/rogier-van-der-weyden/portrait-of-a-young-woman-in-a-pinned-hat-1435.jpg;https://www.wikiart.org/en/rogier-van-der-weyden;;no;11;20.457.876;28.827.555;-30.550.234;open;100; closed;0;7;80.74;19.072
9;Male;36;Renaissance Art;Northern Renaissance;Konrad Witz;The Synagoge;Europe;1435;https://use2-uploads3.wikiart.org/images/konrad-witz/the-synagoge.jpg;https://www.wikiart.org/en/konrad-witz;;no;6.699;13.351.406;322.023;-36.152.824;closed;34.136;closed;19.367;37;11.134;87.653
19;Male;35;Renaissance Art;Early Renaissance;Pisanello;Portrait of a Princess of the House of Este;Europe;1449;https://use2-uploads1.wikiart.org/images/pisanello/portrait-of-a-princess-of-the-house-of-este-1449.jpg;https://www.wikiart.org/en/pisanello;;no;11.847;0.6687591;-7.292.704;87.605.446;closed;17;closed;0;34.022;34.427;4.122
21;Male;33;Renaissance Art;Northern Renaissance;Rogier van der Weyden;Saint Ivo;Europe;1450;https://use2-uploads6.wikiart.org/images/rogier-van-der-weyden/saint-ivo-1450.jpg;https://www.wikiart.org/en/rogier-van-der-weyden;;no;26;5.809.454;15.207.143;-47.900.208;open;93.22;closed;73;0;99.989;9
29;Female;40;Renaissance Art;Northern Renaissance;Rogier van der Weyden;Portrait of a Woman;North America;1464;https://use2-uploads7.wikiart.org/images/rogier-van-der-weyden/portrait-of-a-woman-1464.jpg;https://www.wikiart.org/en/rogier-van-der-weyden;;no;335;71.069.736;-11.336.461;25.568.981;open;100;closed;0;1;25.885;74.1
33;Female;31;Renaissance Art;Northern Renaissance;Petrus Christus;Portrait of a Young Girl;Europe;1470;https://use2-uploads1.wikiart.org/images/petrus-christus/portrait-of-a-young-girl.jpg;https://www.wikiart.org/en/petrus-christus;;no;2.379;17.973.322;-8.167.775;1.989.075;open;99.888;closed;0;1.61;92.433;224
34;Male;54;Renaissance Art;Northern Renaissance;Dirk Bouts;Portrait of a Man;Europe;1470;https://use2-uploads7.wikiart.org/images/dirk-bouts/portrait-of-a-man.jpg;https://www.wikiart.org/en/dirk-bouts;;yes;587;22.612.307;-12.767.968;-23.770.748;open;99.878;open;244;853;98.875;162
35;Female;23;Renaissance Art;Early Renaissance;Antonello da Messina;Virgin of the Annunciation;Europe;1473;https://use2-uploads4.wikiart.org/images/antonello-da-messina/virgin-of-the-annunciation-1473.jpg;https://www.wikiart.org/en/antonello-da-messina;;no;2.254;4.438.597;-16.089.224;14.105.151;open;99.952;closed;6;1;99.937;27
44;Male;33;Renaissance Art;Northern Renaissance;Jean Hey;Portrait of Charles II of Bourbon;Europe;1485;https://use2-uploads3.wikiart.org/images/jean-hey/portrait-of-charles-ii-of-bourbon.jpg;https://www.wikiart.org/en/jean-hey;;yes;138;0.75412375;-52.498.727;4.314.857;open;99.165;open;271;9.173;90.411;3
48;Female;22;Renaissance Art;Early Renaissance;Domenico Ghirlandaio;Portrait of a Girl;Europe;1490;https://use2-uploads0.wikiart.org/images/domenico-ghirlandaio/portrait-of-a-girl.jpg;https://www.wikiart.org/en/domenico-ghirlandaio;;no;9;11.033.949;36.345.365;-3.421.659;open;99.92;closed;1.169;3;93.235;6.555
49;Female;23;Renaissance Art;Northern Renaissance;Jean Hey;Portrait of Margaret of Austria (Portrait of a Young Princess);Europe;1491;https://use2-uploads5.wikiart.org/images/jean-hey/portrait-of-margaret-of-austria-portrait-of-a-young-princess-1.jpg;https://www.wikiart.org/en/jean-hey;;yes;945;8.660.229;-23.547.354;-4.736.163;open;99.995;closed;0;744;69.873;28.172
