ID;gender;age;Style;Category;Artist;Title;area;Year;url;Artist Info URL;;smile;smiledetailed;pitch;roll;yaw;eyes;eyesdetailed;mouth;mouthdetailed;happiness;neutral;sadness
2;Male;48;Renaissance Art;High Renaissance;Ticiano Vecellio;Portrait of Ariosto;Europe;1508;https://use2-uploads1.wikiart.org/images/titian/portrait-of-ariosto-1510.jpg;https://www.wikiart.org/en/titian;;yes;378;-6.6525574;-2.4492779;-40.162395;open;99.173;open;185;1;73.212;26.78
3;Female;51;Renaissance Art;Early Renaissance;Andrea del Castagno;Portrait of a Gentleman;Europe;1449;https://use2-uploads4.wikiart.org/images/andrea-del-castagno/portrait-of-a-gentleman.jpg;https://www.wikiart.org/en/andrea-del-castagno;;no;14.184;-4.6954794;-1.7073052;34.43904;open;99.988;closed;0;2.907;10.771;26.176
4;Male;39;Renaissance Art;Northern Renaissance;Albrecht Durer;Self-Portrait at the Age of Twenty Eight;Europe;1500;https://use2-uploads3.wikiart.org/images/albrecht-durer/self-portrait-at-the-age-of-twenty-eight-1500.jpg;https://www.wikiart.org/en/albrecht-durer;;no;41;-0.21305238;-1.2150005;-2.810831;open;99.97;closed;42;1;99.991;2
5;Male;24;Renaissance Art;High Renaissance;Vittore Carpaccio;Portrait of a Knight;Europe;1510;https://use2-uploads4.wikiart.org/images/vittore-carpaccio/portrait-of-a-knight-1510.jpg;https://www.wikiart.org/en/vittore-carpaccio;;no;7;8.422058;10.188081;-2.3103728;open;99.856;closed;1.637;179;26.596;61.857
6;Female;29;Renaissance Art;High Renaissance;Bartolomeo Veneto;Portrait of a Noble Lady;Europe;1510;https://use2-uploads0.wikiart.org/00112/images/bartolomeo-veneto/portrait-of-a-noble-lady.jpg;https://www.wikiart.org/en/bartolomeo-veneto;;no;9.517;0.023891147;-4.581854;35.15609;open;99.949;closed;0;612;98.777;155
7;Male;45;Renaissance Art;Northern Renaissance;Rogier van der Weyden;Man holding book;Europe;1449;https://use2-uploads8.wikiart.org/images/rogier-van-der-weyden/man-holding-book.jpg;https://www.wikiart.org/en/rogier-van-der-weyden;;yes;102;1.5909474;2.1170926;33.625195;open;99.992;closed;43;0.0;99.997;2
11;Male;39;Renaissance Art;Northern Renaissance;Gerard David;Portrait of a Goldsmith;Europe;1510;https://use2-uploads6.wikiart.org/images/gerard-david/portrait-of-a-goldsmith.jpg;https://www.wikiart.org/en/gerard-david;;yes;189;4.02637;-3.5533981;21.86806;open;99.865;closed;0;1.82;97.496;16
12;Female;25;Renaissance Art;Northern Renaissance;Pieter Aertsen;Market woman at a vegetable stand;Europe;1567;https://use2-uploads5.wikiart.org/images/pieter-aertsen/market-woman-at-a-vegetable-stand-1567.jpg;https://www.wikiart.org/en/pieter-aertsen;;no;56;8.585293;-23.33981;21.350029;open;99.88;closed;14;1;99.998;0
13;Male;30;Renaissance Art;Northern Renaissance;Albrecht Durer;Self-Portrait;Europe;1493;https://use2-uploads3.wikiart.org/images/albrecht-durer/self-portrait-1493.jpg;https://www.wikiart.org/en/albrecht-durer;;yes;127;-4.220735;-7.2948766;-37.946774;open;99.989;open;692;19;99.447;3
14;Female;44;Renaissance Art;Northern Renaissance;Rogier van der Weyden;Portrait of a Lady;Europe;1460;https://use2-uploads0.wikiart.org/images/rogier-van-der-weyden/portrait-of-a-lady-1460(1).jpg;https://www.wikiart.org/en/rogier-van-der-weyden;;yes;142;4.867308;-2.8333097;34.858044;open;100;closed;0;85;96.751;3.139
15;Male;38;Renaissance Art;High Renaissance;Bartolomeo Veneto;Portrait of a Noble Man;Europe;1510;https://use2-uploads8.wikiart.org/00112/images/bartolomeo-veneto/portrait-of-a-noble-man.jpg;https://www.wikiart.org/en/bartolomeo-veneto;;yes;327;9.375536;-7.927124;14.959858;open;97.74;open;99.721;99;45.3;2.77
16;Female;39;Renaissance Art;High Renaissance;Pietro Perugino;Madonna and Child;Europe;1495;https://use2-uploads3.wikiart.org/images/pietro-perugino/madonna-and-child.jpg;https://www.wikiart.org/en/pietro-perugino;;no;0.07;8.2488365;-28.496881;17.717949;open;99.614;closed;0;78;99.471;41
17;Male;28;Renaissance Art;Northern Renaissance;Petrus Christus;Potrait of a Carthusian;Europe;1446;https://use2-uploads5.wikiart.org/images/petrus-christus/potrait-of-a-carthusian-1446.jpg;https://www.wikiart.org/en/petrus-christus;;no;36;5.171088;-1.5145437;-23.585022;open;100;closed;1.438;0;100;0
20;Female;20;Renaissance Art;Northern Renaissance;Hans Holbein the Younger;Portrait of a Lady, thought to be Anne Boleyn;Europe;1534;https://use2-uploads3.wikiart.org/images/hans-holbein-the-younger/portrait-of-a-lady-thought-to-be-anne-boleyn.jpg;https://www.wikiart.org/en/hans-holbein-the-younger;;yes;759;1.1379676;5.0800223;-46.07565;open;99.867;closed;0;2.819;69.714;23.725
22;Male;40;Renaissance Art;Northern Renaissance;Hans Holbein the Younger;Portrait of Thomas Cromwell;Europe;1533;https://use2-uploads4.wikiart.org/images/hans-holbein-the-younger/portrait-of-thomas-cromwell.jpg;https://www.wikiart.org/en/hans-holbein-the-younger;;no;72;-13.643966;6.9446697;74.793755;closed;8.745;open;508;3.768;84.236;1.374
23;Male;55;Renaissance Art;Early Renaissance;Domenico Ghirlandaio;Old Man with a Young Boy;Europe;1510;https://use2-uploads6.wikiart.org/images/domenico-ghirlandaio/old-man-with-a-young-boy.jpg;https://www.wikiart.org/en/domenico-ghirlandaio;;yes;194;10.762893;-2.6632695;-31.810001;open;97.273;closed;0;17;99.949;0.02
26;Male;60;Renaissance Art;Northern Renaissance;Bernhard Strigel;Portrait of Georg Tannstetter (Collimitius);Europe;1515;https://use2-uploads1.wikiart.org/images/bernhard-strigel/portrait-of-georg-tannstetter-collimitius.jpg;https://www.wikiart.org/en/bernhard-strigel;;no;35;-2.6151805;4.036066;-27.053682;open;98.959;closed;0;0.0;99.999;0.0
27;Male;42;Renaissance Art;Northern Renaissance;Rogier van der Weyden;Portrait of Charles the Bold;Europe;1510;https://use2-uploads4.wikiart.org/images/rogier-van-der-weyden/portrait-of-charles-the-bold-1.jpg;https://www.wikiart.org/en/rogier-van-der-weyden;;;;;;;;;;;;;
28;Male;72;Post Renaissance Art;Rococo;George Romney;Admiral John Forbes (1714â1796);Europe;1778;https://use2-uploads0.wikiart.org/images/george-romney/admiral-john-forbes-1714-1796-1778.jpg;https://www.wikiart.org/en/george-romney;;yes;376;1.9918402;-9.094906;24.352488;open;99.999;closed;0;14.978;49.672;34.965
32;Male;27;Post Renaissance Art;Romanticism;Vasily Tropinin;Portrait of Alexander Pushkin;Europe;1827;https://use2-uploads5.wikiart.org/images/vasily-tropinin/not_detected_241177.jpg;https://www.wikiart.org/en/vasily-tropinin;;no;5.391;0.2738846;-8.599382;-20.441442;open;99.994;closed;0;0;100;0
36;Male;71;Post Renaissance Art;Romanticism;Charles Turner;Cyril Jackson;Europe;1811;https://use2-uploads3.wikiart.org/images/charles-turner/cyril-jackson-1811.jpg;https://www.wikiart.org/en/charles-turner;;no;17;7.171772;-7.395189;11.02053;open;99.073;closed;0;3;99.771;216
37;Male;44;Post Renaissance Art;Baroque;Artemisia Gentileschi;Portrait of a Condottiero;Europe;1622;https://use2-uploads4.wikiart.org/images/artemisia-gentileschi/portrait-of-a-condottiero-1622.jpg;https://www.wikiart.org/en/artemisia-gentileschi;;yes;90.611;3.2302225;-3.6506217;-9.015575;open;99.274;open;97.798;99.976;4;6
38;Male;39;Post Renaissance Art;Baroque;Jacob Jordaens;Portrait of a Young Married Couple;Europe;1620;https://use2-uploads6.wikiart.org/images/jacob-jordaens/portrait-of-a-young-married-couple-1620.jpg;https://www.wikiart.org/en/jacob-jordaens;;yes;142;7.1525316;-2.054493;-10.424069;open;100;closed;17;227;98.145;497
39;Female;22;Post Renaissance Art;Neoclassicism;Mikhail Shibanov;Portrait of A. G. Spiridov;Europe;1772;https://use2-uploads7.wikiart.org/images/mikhail-shibanov/portrait-of-a-g-spiridov-1772.jpg;https://www.wikiart.org/en/mikhail-shibanov;;no;6.301;6.324619;4.109851;-17.308249;open;99.341;closed;0;1;99.879;81
